measurement_id,wafer_id,step_id,parameter,value,unit,timestamp
1,151,1,particle_count,10.2046,ct,2025-10-17 05:10:00
2,151,2,resist_thickness_nm,506.8188,nm,2025-10-17 05:40:00
3,151,3,cd_nm,100.6947,nm,2025-10-17 06:10:00
4,151,3,overlay_nm,-1.5283,nm,2025-10-17 06:10:00
5,151,4,cd_nm_post_dev,97.488,nm,2025-10-17 06:40:00
6,151,5,etch_rate_nm_s,15.0845,nm/s,2025-10-17 07:10:00
7,151,5,cd_nm_post_etch,95.2945,nm,2025-10-17 07:10:00
8,151,6,residue_ppm,5.1775,ppm,2025-10-17 07:40:00
9,151,7,thickness_nm,301.0493,nm,2025-10-17 08:10:00
10,151,8,thickness_post_cmp_nm,282.885,nm,2025-10-17 08:40:00
11,151,9,cd_nm,98.8193,nm,2025-10-17 09:10:00
12,151,10,sheet_resistance_ohm_sq,25.6057,ohm/sq,2025-10-17 09:40:00
13,152,1,particle_count,11.5545,ct,2025-10-17 08:37:00
14,152,2,resist_thickness_nm,497.4693,nm,2025-10-17 09:07:00
15,152,3,cd_nm,99.9226,nm,2025-10-17 09:37:00
16,152,3,overlay_nm,0.4221,nm,2025-10-17 09:37:00
17,152,4,cd_nm_post_dev,97.3741,nm,2025-10-17 10:07:00
18,152,5,etch_rate_nm_s,15.8527,nm/s,2025-10-17 10:37:00
19,152,5,cd_nm_post_etch,95.4817,nm,2025-10-17 10:37:00
20,152,6,residue_ppm,5.7978,ppm,2025-10-17 11:07:00
21,152,7,thickness_nm,296.5731,nm,2025-10-17 11:37:00
22,152,8,thickness_post_cmp_nm,280.1928,nm,2025-10-17 12:07:00
23,152,9,cd_nm,99.7256,nm,2025-10-17 12:37:00
24,152,10,sheet_resistance_ohm_sq,23.8443,ohm/sq,2025-10-17 13:07:00
25,153,1,particle_count,8.2452,ct,2025-10-17 12:37:00
26,153,2,resist_thickness_nm,494.1011,nm,2025-10-17 13:07:00
27,153,3,cd_nm,99.1576,nm,2025-10-17 13:37:00
28,153,3,overlay_nm,0.4164,nm,2025-10-17 13:37:00
29,153,4,cd_nm_post_dev,98.7013,nm,2025-10-17 14:07:00
30,153,5,etch_rate_nm_s,15.7991,nm/s,2025-10-17 14:37:00
31,153,5,cd_nm_post_etch,96.0523,nm,2025-10-17 14:37:00
32,153,6,residue_ppm,6.7537,ppm,2025-10-17 15:07:00
33,153,7,thickness_nm,294.7987,nm,2025-10-17 15:37:00
34,153,8,thickness_post_cmp_nm,284.5654,nm,2025-10-17 16:07:00
35,153,9,cd_nm,101.3899,nm,2025-10-17 16:37:00
36,153,10,sheet_resistance_ohm_sq,24.469,ohm/sq,2025-10-17 17:07:00
37,154,1,particle_count,8.4277,ct,2025-10-17 17:13:00
38,154,2,resist_thickness_nm,501.6031,nm,2025-10-17 17:43:00
39,154,3,cd_nm,101.6693,nm,2025-10-17 18:13:00
40,154,3,overlay_nm,1.6108,nm,2025-10-17 18:13:00
41,154,4,cd_nm_post_dev,98.6428,nm,2025-10-17 18:43:00
42,154,5,etch_rate_nm_s,14.7821,nm/s,2025-10-17 19:13:00
43,154,5,cd_nm_post_etch,94.228,nm,2025-10-17 19:13:00
44,154,6,residue_ppm,3.5975,ppm,2025-10-17 19:43:00
45,154,7,thickness_nm,302.1396,nm,2025-10-17 20:13:00
46,154,8,thickness_post_cmp_nm,276.1382,nm,2025-10-17 20:43:00
47,154,9,cd_nm,100.3487,nm,2025-10-17 21:13:00
48,154,10,sheet_resistance_ohm_sq,24.7165,ohm/sq,2025-10-17 21:43:00
49,155,1,particle_count,7.9201,ct,2025-10-17 20:37:00
50,155,2,resist_thickness_nm,499.6835,nm,2025-10-17 21:07:00
51,155,3,cd_nm,100.409,nm,2025-10-17 21:37:00
52,155,3,overlay_nm,-1.8974,nm,2025-10-17 21:37:00
53,155,4,cd_nm_post_dev,96.0049,nm,2025-10-17 22:07:00
54,155,5,etch_rate_nm_s,15.818,nm/s,2025-10-17 22:37:00
55,155,5,cd_nm_post_etch,96.3881,nm,2025-10-17 22:37:00
56,155,6,residue_ppm,4.6126,ppm,2025-10-17 23:07:00
57,155,7,thickness_nm,304.9701,nm,2025-10-17 23:37:00
58,155,8,thickness_post_cmp_nm,285.7764,nm,2025-10-18 00:07:00
59,155,9,cd_nm,101.6475,nm,2025-10-18 00:37:00
60,155,10,sheet_resistance_ohm_sq,23.5389,ohm/sq,2025-10-18 01:07:00
61,156,1,particle_count,7.9978,ct,2025-10-18 01:08:00
62,156,2,resist_thickness_nm,500.7471,nm,2025-10-18 01:38:00
63,156,3,cd_nm,101.5973,nm,2025-10-18 02:08:00
64,156,3,overlay_nm,1.4677,nm,2025-10-18 02:08:00
65,156,4,cd_nm_post_dev,97.9924,nm,2025-10-18 02:38:00
66,156,5,etch_rate_nm_s,15.0065,nm/s,2025-10-18 03:08:00
67,156,5,cd_nm_post_etch,95.2387,nm,2025-10-18 03:08:00
68,156,6,residue_ppm,4.8315,ppm,2025-10-18 03:38:00
69,156,7,thickness_nm,305.416,nm,2025-10-18 04:08:00
70,156,8,thickness_post_cmp_nm,284.6674,nm,2025-10-18 04:38:00
71,156,9,cd_nm,99.8967,nm,2025-10-18 05:08:00
72,156,10,sheet_resistance_ohm_sq,24.1805,ohm/sq,2025-10-18 05:38:00
73,157,1,particle_count,8.7526,ct,2025-10-18 04:51:00
74,157,2,resist_thickness_nm,493.548,nm,2025-10-18 05:21:00
75,157,3,cd_nm,98.3348,nm,2025-10-18 05:51:00
76,157,3,overlay_nm,-1.7132,nm,2025-10-18 05:51:00
77,157,4,cd_nm_post_dev,99.7141,nm,2025-10-18 06:21:00
78,157,5,etch_rate_nm_s,14.6446,nm/s,2025-10-18 06:51:00
79,157,5,cd_nm_post_etch,94.7106,nm,2025-10-18 06:51:00
80,157,6,residue_ppm,5.375,ppm,2025-10-18 07:21:00
81,157,7,thickness_nm,297.1945,nm,2025-10-18 07:51:00
82,157,8,thickness_post_cmp_nm,283.2388,nm,2025-10-18 08:21:00
83,157,9,cd_nm,99.6623,nm,2025-10-18 08:51:00
84,157,10,sheet_resistance_ohm_sq,25.3993,ohm/sq,2025-10-18 09:21:00
85,158,1,particle_count,11.0796,ct,2025-10-18 09:07:00
86,158,2,resist_thickness_nm,492.0384,nm,2025-10-18 09:37:00
87,158,3,cd_nm,98.9351,nm,2025-10-18 10:07:00
88,158,3,overlay_nm,0.4062,nm,2025-10-18 10:07:00
89,158,4,cd_nm_post_dev,98.8324,nm,2025-10-18 10:37:00
90,158,5,etch_rate_nm_s,15.5849,nm/s,2025-10-18 11:07:00
91,158,5,cd_nm_post_etch,96.1618,nm,2025-10-18 11:07:00
92,158,6,residue_ppm,5.0788,ppm,2025-10-18 11:37:00
93,158,7,thickness_nm,300.0502,nm,2025-10-18 12:07:00
94,158,8,thickness_post_cmp_nm,276.9354,nm,2025-10-18 12:37:00
95,158,9,cd_nm,100.2198,nm,2025-10-18 13:07:00
96,158,10,sheet_resistance_ohm_sq,24.1178,ohm/sq,2025-10-18 13:37:00
97,159,1,particle_count,7.1981,ct,2025-10-18 13:23:00
98,159,2,resist_thickness_nm,506.118,nm,2025-10-18 13:53:00
99,159,3,cd_nm,99.2206,nm,2025-10-18 14:23:00
100,159,3,overlay_nm,-1.867,nm,2025-10-18 14:23:00
101,159,4,cd_nm_post_dev,96.6015,nm,2025-10-18 14:53:00
102,159,5,etch_rate_nm_s,14.9998,nm/s,2025-10-18 15:23:00
103,159,5,cd_nm_post_etch,95.5878,nm,2025-10-18 15:23:00
104,159,6,residue_ppm,4.9911,ppm,2025-10-18 15:53:00
105,159,7,thickness_nm,299.984,nm,2025-10-18 16:23:00
106,159,8,thickness_post_cmp_nm,284.4028,nm,2025-10-18 16:53:00
107,159,9,cd_nm,97.2378,nm,2025-10-18 17:23:00
108,159,10,sheet_resistance_ohm_sq,24.7811,ohm/sq,2025-10-18 17:53:00
109,160,1,particle_count,10.8906,ct,2025-10-18 17:09:00
110,160,2,resist_thickness_nm,496.8198,nm,2025-10-18 17:39:00
111,160,3,cd_nm,100.2695,nm,2025-10-18 18:09:00
112,160,3,overlay_nm,1.0812,nm,2025-10-18 18:09:00
113,160,4,cd_nm_post_dev,98.21,nm,2025-10-18 18:39:00
114,160,5,etch_rate_nm_s,14.6449,nm/s,2025-10-18 19:09:00
115,160,5,cd_nm_post_etch,93.2667,nm,2025-10-18 19:09:00
116,160,6,residue_ppm,4.6717,ppm,2025-10-18 19:39:00
117,160,7,thickness_nm,304.1059,nm,2025-10-18 20:09:00
118,160,8,thickness_post_cmp_nm,269.8484,nm,2025-10-18 20:39:00
119,160,9,cd_nm,100.1759,nm,2025-10-18 21:09:00
120,160,10,sheet_resistance_ohm_sq,24.189,ohm/sq,2025-10-18 21:39:00
121,161,1,particle_count,6.7244,ct,2025-10-18 20:31:00
122,161,2,resist_thickness_nm,494.2707,nm,2025-10-18 21:01:00
123,161,3,cd_nm,99.9801,nm,2025-10-18 21:31:00
124,161,3,overlay_nm,-2.7443,nm,2025-10-18 21:31:00
125,161,4,cd_nm_post_dev,98.0236,nm,2025-10-18 22:01:00
126,161,5,etch_rate_nm_s,14.9272,nm/s,2025-10-18 22:31:00
127,161,5,cd_nm_post_etch,93.8384,nm,2025-10-18 22:31:00
128,161,6,residue_ppm,6.0392,ppm,2025-10-18 23:01:00
129,161,7,thickness_nm,296.7673,nm,2025-10-18 23:31:00
130,161,8,thickness_post_cmp_nm,281.209,nm,2025-10-19 00:01:00
131,161,9,cd_nm,98.3844,nm,2025-10-19 00:31:00
132,161,10,sheet_resistance_ohm_sq,24.4913,ohm/sq,2025-10-19 01:01:00
133,162,1,particle_count,9.7802,ct,2025-10-19 00:44:00
134,162,2,resist_thickness_nm,494.4404,nm,2025-10-19 01:14:00
135,162,3,cd_nm,101.4228,nm,2025-10-19 01:44:00
136,162,3,overlay_nm,0.1526,nm,2025-10-19 01:44:00
137,162,4,cd_nm_post_dev,99.9902,nm,2025-10-19 02:14:00
138,162,5,etch_rate_nm_s,15.4163,nm/s,2025-10-19 02:44:00
139,162,5,cd_nm_post_etch,96.485,nm,2025-10-19 02:44:00
140,162,6,residue_ppm,3.5853,ppm,2025-10-19 03:14:00
141,162,7,thickness_nm,297.043,nm,2025-10-19 03:44:00
142,162,8,thickness_post_cmp_nm,279.0438,nm,2025-10-19 04:14:00
143,162,9,cd_nm,102.3522,nm,2025-10-19 04:44:00
144,162,10,sheet_resistance_ohm_sq,23.9265,ohm/sq,2025-10-19 05:14:00
145,163,1,particle_count,8.6151,ct,2025-10-19 05:04:00
146,163,2,resist_thickness_nm,504.7787,nm,2025-10-19 05:34:00
147,163,3,cd_nm,100.9623,nm,2025-10-19 06:04:00
148,163,3,overlay_nm,0.1798,nm,2025-10-19 06:04:00
149,163,4,cd_nm_post_dev,98.4306,nm,2025-10-19 06:34:00
150,163,5,etch_rate_nm_s,15.2094,nm/s,2025-10-19 07:04:00
151,163,5,cd_nm_post_etch,93.4616,nm,2025-10-19 07:04:00
152,163,6,residue_ppm,6.6752,ppm,2025-10-19 07:34:00
153,163,7,thickness_nm,299.7559,nm,2025-10-19 08:04:00
154,163,8,thickness_post_cmp_nm,278.207,nm,2025-10-19 08:34:00
155,163,9,cd_nm,98.6212,nm,2025-10-19 09:04:00
156,163,10,sheet_resistance_ohm_sq,24.1419,ohm/sq,2025-10-19 09:34:00
157,164,1,particle_count,13.0198,ct,2025-10-19 09:01:00
158,164,2,resist_thickness_nm,510.8053,nm,2025-10-19 09:31:00
159,164,3,cd_nm,101.131,nm,2025-10-19 10:01:00
160,164,3,overlay_nm,-2.4625,nm,2025-10-19 10:01:00
161,164,4,cd_nm_post_dev,96.9635,nm,2025-10-19 10:31:00
162,164,5,etch_rate_nm_s,15.3296,nm/s,2025-10-19 11:01:00
163,164,5,cd_nm_post_etch,92.8518,nm,2025-10-19 11:01:00
164,164,6,residue_ppm,5.3914,ppm,2025-10-19 11:31:00
165,164,7,thickness_nm,298.8376,nm,2025-10-19 12:01:00
166,164,8,thickness_post_cmp_nm,281.438,nm,2025-10-19 12:31:00
167,164,9,cd_nm,99.2178,nm,2025-10-19 13:01:00
168,164,10,sheet_resistance_ohm_sq,26.4727,ohm/sq,2025-10-19 13:31:00
169,165,1,particle_count,10.4584,ct,2025-10-19 12:42:00
170,165,2,resist_thickness_nm,509.2499,nm,2025-10-19 13:12:00
171,165,3,cd_nm,100.3195,nm,2025-10-19 13:42:00
172,165,3,overlay_nm,0.7313,nm,2025-10-19 13:42:00
173,165,4,cd_nm_post_dev,97.2602,nm,2025-10-19 14:12:00
174,165,5,etch_rate_nm_s,14.0847,nm/s,2025-10-19 14:42:00
175,165,5,cd_nm_post_etch,94.6304,nm,2025-10-19 14:42:00
176,165,6,residue_ppm,5.3854,ppm,2025-10-19 15:12:00
177,165,7,thickness_nm,303.6483,nm,2025-10-19 15:42:00
178,165,8,thickness_post_cmp_nm,275.056,nm,2025-10-19 16:12:00
179,165,9,cd_nm,100.2713,nm,2025-10-19 16:42:00
180,165,10,sheet_resistance_ohm_sq,25.2028,ohm/sq,2025-10-19 17:12:00
181,166,1,particle_count,6.7613,ct,2025-10-19 16:58:00
182,166,2,resist_thickness_nm,496.949,nm,2025-10-19 17:28:00
183,166,3,cd_nm,100.777,nm,2025-10-19 17:58:00
184,166,3,overlay_nm,2.2386,nm,2025-10-19 17:58:00
185,166,4,cd_nm_post_dev,96.8099,nm,2025-10-19 18:28:00
186,166,5,etch_rate_nm_s,14.9987,nm/s,2025-10-19 18:58:00
